implementation,run,time_seconds
cuRAND,1,0.001130352
cuRAND,2,0.000921965
cuRAND,3,0.000947715
cuRAND,4,0.000946160
cuRAND,5,0.000931516
cuRAND,6,0.000916728
cuRAND,7,0.000887762
cuRAND,8,0.000888403
cuRAND,9,0.000887044
cuRAND,10,0.000874557
cuRAND,11,0.000898568
cuRAND,12,0.000929647
cuRAND,13,0.000933295
cuRAND,14,0.001073601
cuRAND,15,0.000924763
cuRAND,16,0.000909410
cuRAND,17,0.000960742
cuRAND,18,0.000897818
cuRAND,19,0.000887597
cuRAND,20,0.000941978
cuRAND,21,0.000919278
cuRAND,22,0.000895783
cuRAND,23,0.000880294
cuRAND,24,0.000886216
cuRAND,25,0.000880405
cuRAND,26,0.000884197
cuRAND,27,0.000914423
cuRAND,28,0.000880532
cuRAND,29,0.000903306
cuRAND,30,0.000889480
cuRAND,31,0.000882757
cuRAND,32,0.000878865
cuRAND,33,0.000920094
cuRAND,34,0.000919549
cuRAND,35,0.000908065
cuRAND,36,0.000927400
cuRAND,37,0.000893235
cuRAND,38,0.000924366
cuRAND,39,0.000928622
cuRAND,40,0.000875845
cuRAND,41,0.000886915
cuRAND,42,0.000852292
cuRAND,43,0.000871549
cuRAND,44,0.000945498
cuRAND,45,0.000866389
cuRAND,46,0.000881972
cuRAND,47,0.000929092
cuRAND,48,0.000921691
cuRAND,49,0.000883992
cuRAND,50,0.000938558
cuRAND,51,0.000913803
cuRAND,52,0.000910341
cuRAND,53,0.000915928
cuRAND,54,0.000889527
cuRAND,55,0.000906629
cuRAND,56,0.000917244
cuRAND,57,0.000883274
cuRAND,58,0.000952106
cuRAND,59,0.000919343
cuRAND,60,0.000885910
cuRAND,61,0.000864370
cuRAND,62,0.000902589
cuRAND,63,0.000986914
cuRAND,64,0.000897240
cuRAND,65,0.000923327
cuRAND,66,0.000945304
cuRAND,67,0.000933054
cuRAND,68,0.000871778
cuRAND,69,0.000906418
cuRAND,70,0.000942372
cuRAND,71,0.000917971
cuRAND,72,0.000936602
